timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-03-24T00:12:38Z","Ebooks - Urban Fantasy","Shadows Descent MistHallow Academy by Eve Newton","Eve Newton","https://www.myanonamouse.net/t/1229526","Shadows Descent (MistHallow Academy) by Eve Newton [English / epub]","author_not_allowlisted"
"2026-03-24T00:17:28Z","Ebooks - Urban Fantasy","Veiled Desires by Eve Newton","Eve Newton","https://www.myanonamouse.net/t/1229528","Veiled Desires by Eve Newton [English / epub]","author_not_allowlisted"
"2026-03-24T00:19:08Z","Ebooks - General Fiction","The Bottomless Swim Team Bundle by Taylor Cannon","Taylor Cannon","https://www.myanonamouse.net/t/1229529","The Bottomless Swim Team Bundle by Taylor Cannon [English / epub]","author_not_allowlisted"
"2026-03-24T00:19:15Z","Ebooks - Science Fiction","The Pitch Science Fiction 1Q2026 by Ray Bradbury, Fredric Brown, Philip K Dick, and 10 more","Ray Bradbury","https://www.myanonamouse.net/t/1229530","The Pitch Science Fiction 1Q2026 by Ray Bradbury, Fredric Brown, Philip K Dick, and 10 more [English / epub]","author_not_allowlisted"
"2026-03-24T00:21:47Z","Ebooks - Urban Fantasy","Shadows Entwined by Eve Newton","Eve Newton","https://www.myanonamouse.net/t/1229532","Shadows Entwined by Eve Newton [English / epub]","author_not_allowlisted"
"2026-03-24T00:45:40Z","Ebooks - General Fiction","Invisible Desire Bundle by Taylor Cannon","Taylor Cannon","https://www.myanonamouse.net/t/1229535","Invisible Desire Bundle by Taylor Cannon [English / epub]","author_not_allowlisted"
"2026-03-24T01:55:34Z","Ebooks - Fantasy","Magicapita: Road to Armageddon by Lord Streak","Lord Streak","https://www.myanonamouse.net/t/1229537","Magicapita: Road to Armageddon by Lord Streak [English / epub]","author_not_allowlisted"
"2026-03-24T01:56:18Z","Ebooks - Fantasy","Magicapita: The Slum Wars by Lord Streak","Lord Streak","https://www.myanonamouse.net/t/1229538","Magicapita: The Slum Wars by Lord Streak [English / epub]","author_not_allowlisted"
"2026-03-24T04:26:37Z","Ebooks - Young Adult","Real Talk About Sex and Consent: What Every Teen Needs to Know by Cheryl Bradshaw","Cheryl Bradshaw","https://www.myanonamouse.net/t/1229569","Real Talk About Sex and Consent: What Every Teen Needs to Know by Cheryl Bradshaw [English / epub]","author_not_allowlisted"
"2026-03-24T04:39:42Z","Ebooks - Fantasy","Mohtar","Amal El-Mohtar","https://www.myanonamouse.net/t/1229577","Seasons of Glass and Iron by Amal El-Mohtar [English / epub]","author_not_allowlisted"
"2026-03-24T04:41:45Z","Ebooks - General Fiction","Python's Kiss by Louise Erdrich","Louise Erdrich","https://www.myanonamouse.net/t/1229578","Python's Kiss by Louise Erdrich [English / epub]","author_not_allowlisted"
"2026-03-24T04:45:55Z","Ebooks - Fantasy","Heir of Twisted Lies by L.J. Andrews","L J Andrews","https://www.myanonamouse.net/t/1229581","Heir of Twisted Lies by L J Andrews [English / epub]","author_not_allowlisted"
"2026-03-24T04:46:15Z","Ebooks - Fantasy","Silver & Gold by Katherine Diane","Katherine Diane","https://www.myanonamouse.net/t/1229582","Silver & Gold by Katherine Diane [English / epub]","author_not_allowlisted"
"2026-03-24T04:48:29Z","Ebooks - Young Adult","Here for a Good Time by Kim Spencer","Kim Spencer","https://www.myanonamouse.net/t/1229583","Here for a Good Time by Kim Spencer [English / epub]","author_not_allowlisted"
"2026-03-24T05:00:31Z","Ebooks - Fantasy","Daughter of Crows by Mark Lawrence","Mark Lawrence","https://www.myanonamouse.net/t/1229590","Daughter of Crows by Mark Lawrence [English / epub]","author_not_allowlisted"
"2026-03-24T05:26:49Z","Ebooks - Fantasy","Aicha by Soraya Bouazzaoui","Soraya Bouazzaoui","https://www.myanonamouse.net/t/1229591","Aicha by Soraya Bouazzaoui [English / epub]","author_not_allowlisted"
"2026-03-24T05:29:13Z","Ebooks - Science Fiction","Blindside by Michael Mammay","Michael Mammay","https://www.myanonamouse.net/t/1229592","Blindside by Michael Mammay [English / epub]","author_not_allowlisted"
"2026-03-24T05:33:24Z","Ebooks - Fantasy","Tel","Bar Fridman-Tel","https://www.myanonamouse.net/t/1229594","Honeysuckle by Bar Fridman-Tel [English / epub]","author_not_allowlisted"
"2026-03-24T05:40:52Z","Ebooks - Young Adult","Charmed and Dangerous by Shelly Page","Shelly Page","https://www.myanonamouse.net/t/1229595","Charmed and Dangerous by Shelly Page [English / epub]","author_not_allowlisted"
"2026-03-24T05:42:27Z","Ebooks - Young Adult","Someone to Daydream About by Sydney Langford","Sydney Langford","https://www.myanonamouse.net/t/1229596","Someone to Daydream About by Sydney Langford [English / epub]","author_not_allowlisted"
"2026-03-24T05:44:56Z","Ebooks - Science Fiction","The Danger of Small Things by Caryl Lewis","Caryl Lewis","https://www.myanonamouse.net/t/1229597","The Danger of Small Things by Caryl Lewis [English / epub]","author_not_allowlisted"
"2026-03-24T06:06:17Z","Ebooks - Science Fiction","The Uncontinented Stars by Haden Cross","Haden Cross","https://www.myanonamouse.net/t/1229602","The Uncontinented Stars by Haden Cross [English / epub]","author_not_allowlisted"
"2026-03-24T07:19:43Z","Ebooks - General Fiction","The Dog Meows, the Cat Barks by Eka Kurniawan","Eka Kurniawan","https://www.myanonamouse.net/t/1229618","The Dog Meows, the Cat Barks by Eka Kurniawan [English / epub]","author_not_allowlisted"
"2026-03-24T10:07:35Z","Ebooks - General Fiction","Moving on: a novel by Larry McMurtry","Larry McMurtry","https://www.myanonamouse.net/t/1229629","Moving on: a novel by Larry McMurtry [English / pdf]","author_not_allowlisted"
"2026-03-24T12:40:32Z","Ebooks - Young Adult","Who Is Bugs Potter by Gordon Korman","Gordon Korman","https://www.myanonamouse.net/t/1229641","Who Is Bugs Potter by Gordon Korman [English / epub]","author_not_allowlisted"
"2026-03-24T13:38:13Z","Ebooks - Fantasy","Holder of Worlds by Christopher Mitchell","Christopher Mitchell","https://www.myanonamouse.net/t/1229646","Holder of Worlds by Christopher Mitchell [English / epub]","author_not_allowlisted"
"2026-03-24T14:31:43Z","Ebooks - General Fiction","Sea Now by Eva Meijer","Eva Meijer","https://www.myanonamouse.net/t/1229651","Sea Now by Eva Meijer [English / epub]","author_not_allowlisted"
"2026-03-24T14:48:14Z","Ebooks - General Fiction","Alamo Theory by Josh Bell","Josh Bell","https://www.myanonamouse.net/t/1229655","Alamo Theory by Josh Bell [English / epub]","author_not_allowlisted"
"2026-03-24T16:13:24Z","Ebooks - Fantasy","Antelligent Design by RinoZ","RinoZ","https://www.myanonamouse.net/t/1229673","Antelligent Design by RinoZ [English / epub]","author_not_allowlisted"
"2026-03-24T17:23:18Z","Ebooks - Fantasy","Shadow Slave Volume 2: Demon of Change by Guiltythree","Guiltythree","https://www.myanonamouse.net/t/1229688","Shadow Slave Volume 2: Demon of Change by Guiltythree [English / epub]","author_not_allowlisted"
"2026-03-24T18:02:56Z","Ebooks - Fantasy","The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun Vol. 11 by Rou Bao Bu Chi Rou","Rou Bao Bu Chi Rou","https://www.myanonamouse.net/t/1229693","The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun Vol. 11 by Rou Bao Bu Chi Rou [English / epub]","author_not_allowlisted"
"2026-03-24T18:25:44Z","Ebooks - Science Fiction","Blueprints for Tomorrow: A Space Opera Adventure by M.J. Markgraf","M J Markgraf","https://www.myanonamouse.net/t/1229699","Blueprints for Tomorrow: A Space Opera Adventure by M J Markgraf [English / epub]","author_not_allowlisted"
"2026-03-24T18:27:32Z","Ebooks - Fantasy","This Will Be Interesting by E.B. Asher","E B Asher","https://www.myanonamouse.net/t/1229700","This Will Be Interesting by E B Asher [English / epub]","author_not_allowlisted"
"2026-03-24T18:30:34Z","Ebooks - Fantasy","The Ruby Magician by D.R. Hudgins","D R Hudgins","https://www.myanonamouse.net/t/1229701","The Ruby Magician by D R Hudgins [English / epub]","author_not_allowlisted"
"2026-03-24T18:36:08Z","Ebooks - Fantasy","Backstreet Evolutionist Book 1 : A Progression Fantasy Adventure by Anton Panarin","Anton Panarin","https://www.myanonamouse.net/t/1229703","Backstreet Evolutionist (Book 1): A Progression Fantasy Adventure by Anton Panarin [English / epub]","author_not_allowlisted"
"2026-03-24T18:42:30Z","Ebooks - Fantasy","Arcane by Jarah Aurel","Jarah Aurel","https://www.myanonamouse.net/t/1229708","Arcane by Jarah Aurel [English / epub]","author_not_allowlisted"
"2026-03-24T19:01:08Z","Ebooks - Young Adult","Grab, Daphne","Benedis-Grab","https://www.myanonamouse.net/t/1229712","I Will Find You by Benedis-Grab, Daphne [English / epub]","author_not_allowlisted"
"2026-03-24T19:06:05Z","Ebooks - Fantasy","Blossoming Path 4 by Carlos Calma","Carlos Calma","https://www.myanonamouse.net/t/1229713","Blossoming Path 4 by Carlos Calma [English / epub]","author_not_allowlisted"
"2026-03-24T19:10:39Z","Ebooks - Fantasy","Brand of the Bloodheir by Jaime Castle, C.J. Aaron","Jaime Castle","https://www.myanonamouse.net/t/1229714","Brand of the Bloodheir by Jaime Castle, C J Aaron [English / epub]","author_not_allowlisted"
"2026-03-24T19:15:24Z","Ebooks - Urban Fantasy","The Last Portal Jumper 2 by Konstantin Zubov","Konstantin Zubov","https://www.myanonamouse.net/t/1229716","The Last Portal Jumper 2 by Konstantin Zubov [English / epub]","author_not_allowlisted"
"2026-03-24T19:17:29Z","Ebooks - Science Fiction","Changeling by Andrew Hastie","Andrew Hastie","https://www.myanonamouse.net/t/1229717","Changeling by Andrew Hastie [English / epub]","author_not_allowlisted"
"2026-03-24T19:21:05Z","Ebooks - Science Fiction","Outcaste by Christie Meierz","Christie Meierz","https://www.myanonamouse.net/t/1229720","Outcaste by Christie Meierz [English / epub]","author_not_allowlisted"
"2026-03-24T19:21:05Z","Ebooks - Fantasy","Reprise by Jarah Aurel","Jarah Aurel","https://www.myanonamouse.net/t/1229719","Reprise by Jarah Aurel [English / epub]","author_not_allowlisted"
"2026-03-24T19:24:31Z","Ebooks - Urban Fantasy","The Last Portal Jumper 3 by Konstantin Zubov","Konstantin Zubov","https://www.myanonamouse.net/t/1229722","The Last Portal Jumper 3 by Konstantin Zubov [English / epub]","author_not_allowlisted"
"2026-03-24T19:30:01Z","Ebooks - Urban Fantasy","The Last Portal Jumper 4 by Konstantin Zubov","Konstantin Zubov","https://www.myanonamouse.net/t/1229723","The Last Portal Jumper 4 by Konstantin Zubov [English / epub]","author_not_allowlisted"
"2026-03-24T19:33:18Z","Ebooks - Science Fiction","Cutting Corners by Yoon Ha Lee","Yoon Ha Lee","https://www.myanonamouse.net/t/1229724","Cutting Corners by Yoon Ha Lee [English / epub]","author_not_allowlisted"
"2026-03-24T19:33:49Z","Ebooks - Urban Fantasy","The Last Portal Jumper 5 by Konstantin Zubov","Konstantin Zubov","https://www.myanonamouse.net/t/1229725","The Last Portal Jumper 5 by Konstantin Zubov [English / epub]","author_not_allowlisted"
"2026-03-24T19:36:14Z","Ebooks - Fantasy","The Dead Man's Empire by W.P. Wiles","W P Wiles","https://www.myanonamouse.net/t/1229726","The Dead Man's Empire by W P Wiles [English / epub]","author_not_allowlisted"
"2026-03-24T19:41:28Z","Ebooks - Fantasy","Irenic by Jarah Aurel","Jarah Aurel","https://www.myanonamouse.net/t/1229727","Irenic by Jarah Aurel [English / epub]","author_not_allowlisted"
"2026-03-24T19:44:00Z","Ebooks - Science Fiction","Tyrant of Jarl by B.V. Larson","B V Larson","https://www.myanonamouse.net/t/1229729","Tyrant of Jarl by B V Larson [English / epub]","author_not_allowlisted"
